                ; parameter;  s.e._lin;r.s.e._lin;pvalues_lin
          CL_pop;   0.06344;   0.00205;      3.23;        NaN
   beta_CL_t_WT0;   0.44967;   0.10540;     23.44;    0.00002
   beta_CL_SEX_1;   0.00000;       NaN;       NaN;        NaN
   beta_CL_SEX_2;   0.25300;   0.04049;     16.01;    0.00000
          Vc_pop;   0.67982;   0.01736;      2.55;        NaN
   beta_Vc_t_WT0;   0.54597;   0.10511;     19.25;    0.00000
   beta_Vc_SEX_1;   0.00000;       NaN;       NaN;        NaN
   beta_Vc_SEX_2;   0.15738;   0.04020;     25.54;    0.00009
          Q1_pop;   0.12491;   0.00525;      4.21;        NaN
         Vp1_pop;   1.33071;   0.04635;      3.48;        NaN
  beta_Vp1_t_WT0;   0.31161;   0.15284;     49.05;    0.04147
          Q2_pop;   0.00000;   0.00000;      0.00;        NaN
         Vp2_pop;   1.00000;   0.00000;      0.00;        NaN
         Fiv_pop;   1.00000;   0.00000;      0.00;        NaN
       Fabs1_pop;   1.00000;   0.00000;      0.00;        NaN
          ka_pop;   1.00000;   0.00000;      0.00;        NaN
  Tlaginput1_pop;   0.00000;   0.00000;      0.00;        NaN
        VMAX_pop;   1.86461;   0.16501;      8.85;        NaN
          KM_pop;   3.49629;   0.77788;     22.25;        NaN
        omega_CL;   0.15484;   0.01327;      8.57;        NaN
        omega_Vc;   0.14901;   0.01415;      9.50;        NaN
        omega_Q1;   0.18072;   0.04413;     24.42;        NaN
       omega_Vp1;   0.23508;   0.02579;     10.97;        NaN
        omega_Q2;   0.00000;   0.00000;      0.00;        NaN
       omega_Vp2;   0.00000;   0.00000;      0.00;        NaN
       omega_Fiv;   0.00000;   0.00000;      0.00;        NaN
     omega_Fabs1;   0.00000;   0.00000;      0.00;        NaN
        omega_ka;   0.00000;   0.00000;      0.00;        NaN
omega_Tlaginput1;   0.00000;   0.00000;      0.00;        NaN
      omega_VMAX;   0.00000;   0.00000;      0.00;        NaN
        omega_KM;   0.00000;   0.00000;      0.00;        NaN
     corr(CL,Vc);   0.40896;   0.10818;     26.45;        NaN
               b;   0.11440;   0.00362;      3.16;        NaN
